Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"10nF","Capacitor_SMD:C_0805_2012Metric","~"
C2 ,1,"0.1u","Capacitor_SMD:C_0805_2012Metric","~"
C3 ,1,"10u","Capacitor_SMD:C_0805_2012Metric","~"
F1 ,1,"MF-MSMF050-2","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_2.2mm_M2_ISO7380","~"
H6 H7 ,2,"MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","~"
J1 ,1,"Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~"
J2 J3 J4 J5 J6 J7 J10 J11 ,8,"DIN-5_180degree","lib:DIN5MIDI-OOTDTY","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf"
J8 ,1,"DS1099","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal"," ~"
J9 ,1,"DS1099","Connector_USB:USB_Micro-B_Molex-105017-0001"," ~"
R2 R3 R4 R5 R7 R9 R10 R11 R12 R13 R22 R23 ,12,"220","Resistor_SMD:R_0805_2012Metric","~"
U1 ,1,"USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
U2 ,1,"LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
